date,month,day,close,closer,diff,perc,country,garb
2020-01-30,01,30,7382.000000,7382,-102,-1.362907536,United_Kingdom,
2020-01-31,01,31,7286.000000,7286,-96,-1.30046058,United_Kingdom,
2020-02-03,02,03,7326.299805,7326,40,0.5489980785,United_Kingdom,
2020-02-04,02,04,7439.799805,7440,114,1.556101556,United_Kingdom,
2020-02-05,02,05,7482.500000,7483,43,0.5779569892,United_Kingdom,
2020-02-06,02,06,7504.799805,7505,22,0.2939997327,United_Kingdom,
2020-02-07,02,07,7466.700195,7467,-38,-0.5063291139,United_Kingdom,
2020-02-10,02,10,7446.899902,7447,-20,-0.2678451855,United_Kingdom,
2020-02-11,02,11,7499.399902,7499,52,0.6982677588,United_Kingdom,
2020-02-12,02,12,7534.399902,7534,35,0.4667288972,United_Kingdom,
2020-02-13,02,13,7452.000000,7452,-82,-1.088399257,United_Kingdom,
2020-02-14,02,14,7409.100098,7409,-43,-0.5770263017,United_Kingdom,
2020-02-17,02,17,7433.299805,7433,24,0.323930355,United_Kingdom,
2020-02-18,02,18,7382.000000,7382,-51,-0.6861294228,United_Kingdom,
2020-02-19,02,19,7457.000000,7457,75,1.015984828,United_Kingdom,
2020-02-20,02,20,7436.600098,7437,-20,-0.2682043717,United_Kingdom,
2020-02-21,02,21,7403.899902,7404,-33,-0.4437273094,United_Kingdom,
2020-02-24,02,24,7156.799805,7157,-247,-3.336034576,United_Kingdom,
2020-02-25,02,25,7017.899902,7018,-139,-1.942154534,United_Kingdom,
2020-02-26,02,26,7042.500000,7043,25,0.3562268453,United_Kingdom,
2020-02-27,02,27,6796.399902,6796,-247,-3.507028255,United_Kingdom,
2020-02-28,02,28,6580.600098,6581,-215,-3.163625662,United_Kingdom,
2020-03-02,03,02,6654.899902,6655,74,1.124449172,United_Kingdom,
2020-03-03,03,03,6718.200195,6718,63,0.9466566491,United_Kingdom,
2020-03-04,03,04,6815.600098,6816,98,1.45876749,United_Kingdom,
2020-03-05,03,05,6705.399902,6705,-111,-1.628521127,United_Kingdom,
